"id","user_id","outlet_id","outlet_code","outlet_name","channel_option","channel","visit_type","owner_name","mobile_number","address","city","state","pincode","latitude","longitude","flag","created_at","updated_at"
"4","1","OUT001",NULL,"ABC Medical Store","Pharmacy Store","Pharmacy Store","trade","Rakesh Kumar","9000000001","Sector 1","Noida","UP","201301","28.5700","77.3200","0","2026-05-15 06:37:43","2026-05-21 04:20:16"
"5","1","OUT002",NULL,"Health Plus Pharma","HCP","hcp","hcp","Suresh Gupta","9000000002","Sector 2","Noida","UP","201301","28.5710","77.3210","1","2026-05-15 06:37:43","2026-05-30 04:58:38"
"6","1","OUT003",NULL,"Wellness Chemist","Dcommerce","Dcommerce","trade","Ankit Jain","9000000003","Sector 3","Delhi","Delhi","110001","28.5720","77.3220","0","2026-05-15 06:37:43","2026-05-21 04:20:24"
"7","1","OUT004",NULL,"Life Care Pharmacy","MT Store","MT Store","trade","Pawan Sharma","9000000004","Sector 4","Delhi","Delhi","110002","28.5730","77.3230","0","2026-05-15 06:37:43","2026-05-21 04:20:24"
"8","1","OUT005",NULL,"MediZone Store","Grocery Store","Grocery Store","trade","Deepak Singh","9000000005","Sector 5","Ghaziabad","UP","201001","28.5740","77.3240","0","2026-05-15 06:37:43","2026-05-21 04:20:24"
"9","2","OUT006",NULL,"Good Health Store","Grocery Store","Grocery Store","trade","Rohit Verma","9000000006","Sector 6","Noida","UP","201301","28.5750","77.3250","0","2026-05-15 06:37:43","2026-05-21 04:20:24"
"10","2","OUT007",NULL,"City Medical","Grocery Store","Grocery Store","trade","Karan Gupta","9000000007","Sector 7","Delhi","Delhi","110003","28.5760","77.3260","0","2026-05-15 06:37:43","2026-05-21 04:20:24"
"11","2","OUT008",NULL,"Care Pharmacy","Dcommerce","Dcommerce","trade","Vijay Kumar","9000000008","Sector 8","Faridabad","Haryana","121001","28.5770","77.3270","0","2026-05-15 06:37:43","2026-05-19 12:21:36"
"12","2","OUT009",NULL,"Well Care Store","MT Store","MT Store","trade","Mohit Sharma","9000000009","Sector 9","Faridabad","Haryana","121002","28.5780","77.3280","0","2026-05-15 06:37:43","2026-05-19 12:21:36"
"13","2","OUT010",NULL,"Prime Pharma","MT Store","MT Store","trade","Sanjay Kumar","9000000010","Sector 10","Delhi","Delhi","110004","28.5790","77.3290","0","2026-05-15 06:37:43","2026-05-19 12:21:36"
"14","3","OUT011",NULL,"Apollo Clinic","Pharmacy Store","hcp","hcp","Dr. Mehta","9000000011","Sector 11","Delhi","Delhi","110005","28.5800","77.3300","0","2026-05-15 06:37:43","2026-05-18 08:44:46"
"15","3","OUT012",NULL,"Max Hospital",NULL,NULL,"hcp","Dr. Arora","9000000012","Sector 12","Noida","UP","201301","28.5810","77.3310","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"16","3","OUT013",NULL,"City Hospital",NULL,NULL,"hcp","Dr. Sharma","9000000013","Sector 13","Ghaziabad","UP","201002","28.5820","77.3320","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"17","3","OUT014",NULL,"Sunrise Clinic",NULL,NULL,"hcp","Dr. Verma","9000000014","Sector 14","Delhi","Delhi","110006","28.5830","77.3330","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"18","3","OUT015",NULL,"HealthCare Center",NULL,NULL,"hcp","Dr. Singh","9000000015","Sector 15","Noida","UP","201301","28.5840","77.3340","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"19","4","OUT016",NULL,"Consumer Home 1",NULL,NULL,"consumer","Priya Sharma","9000000016","Sector 16","Delhi","Delhi","110007","28.5850","77.3350","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"20","4","OUT017",NULL,"Consumer Home 2",NULL,NULL,"consumer","Neha Gupta","9000000017","Sector 17","Delhi","Delhi","110008","28.5860","77.3360","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"21","4","OUT018",NULL,"Consumer Home 3",NULL,NULL,"consumer","Anjali Singh","9000000018","Sector 18","Noida","UP","201301","28.5870","77.3370","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"22","4","OUT019",NULL,"Consumer Home 4",NULL,NULL,"consumer","Pooja Verma","9000000019","Sector 19","Ghaziabad","UP","201003","28.5880","77.3380","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"23","4","OUT020",NULL,"Consumer Home 5",NULL,NULL,"consumer","Kajal Sharma","9000000020","Sector 20","Delhi","Delhi","110009","28.5890","77.3390","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"24","5","OUT021",NULL,"Consumer Home 6",NULL,NULL,"consumer","Ritu Singh","9000000021","Sector 21","Noida","UP","201301","28.5900","77.3400","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
"25","5","OUT022",NULL,"Consumer Home 7",NULL,NULL,"consumer","Nidhi Gupta","9000000022","Sector 22","Delhi","Delhi","110010","28.5910","77.3410","0","2026-05-15 06:37:43","2026-05-15 06:37:43"
